index,features
1,state_Northern Territory
2,i11_health_Not sure
3,i11_health_Somewhat unwilling
4,i11_health_Very unwilling
5,state_Tasmania
6,i9_health_Not sure
7,state_South Australia
8,state_Victoria
9,gender_Male
10,state_New South Wales
11,i11_health_Somewhat willing
12,household_size
13,cantril_ladder
14,r1_2
15,i9_health_Yes
16,age
17,state_Western Australia
18,state_Queensland
19,i11_health_Very willing
20,r1_1
21,week_number
