i2_health,age,household_size,cantril_ladder,r1_1,r1_2,week_number,within_mandate_period,state_New South Wales,state_Northern Territory,state_Queensland,state_South Australia,state_Tasmania,state_Victoria,state_Western Australia,gender_Male,i9_health_Not sure,i9_health_Yes,employment_status_Not working,employment_status_Part time employment,employment_status_Retired,employment_status_Unemployed,i11_health_Not sure,i11_health_Somewhat unwilling,i11_health_Somewhat willing,i11_health_Very unwilling,i11_health_Very willing,WCRex1_Somewhat badly,WCRex1_Somewhat well,WCRex1_Very badly,WCRex1_Very well,WCRex2_A lot of confidence,WCRex2_Don't know,WCRex2_No confidence at all,WCRex2_Not very much confidence,PHQ4_1_N/A,PHQ4_1_Nearly every day,PHQ4_1_Not at all,PHQ4_1_Prefer not to say,PHQ4_1_Several days,PHQ4_2_N/A,PHQ4_2_Nearly every day,PHQ4_2_Not at all,PHQ4_2_Prefer not to say,PHQ4_2_Several days,PHQ4_3_N/A,PHQ4_3_Nearly every day,PHQ4_3_Not at all,PHQ4_3_Prefer not to say,PHQ4_3_Several days,PHQ4_4_N/A,PHQ4_4_Nearly every day,PHQ4_4_Not at all,PHQ4_4_Prefer not to say,PHQ4_4_Several days,d1_comorbidities_No,d1_comorbidities_Prefer_not_to_say,d1_comorbidities_Yes
0.029722674,0.012009073,0.011309911,0.01157206,0.031552605,0.011783771,0.021754354,0.075254805,0.030490309,0.013399101,0.031051528,0.014810101,0.024531374,0.054647077,0.055229377,0.012162786,0.016232084,0.02733187,0.011002888,0.012619948,0.012246374,0.011386409,0.013445609,0.013157194,0.0166268,0.0154289305,0.044668537,0.0102344565,0.010862143,0.011562271,0.010884028,0.013510667,0.013351689,0.011296647,0.011347676,0.009256164,0.012713177,0.011282512,0.011560683,0.010349993,0.015839498,0.012001436,0.010625067,0.010966323,0.009968164,0.014380602,0.0111883795,0.01107793,0.010992232,0.011091435,0.016495101,0.011286999,0.01123188,0.011829825,0.011356312,0.010766222,0.014272452,0.010990393
0.029611502,0.012201297,0.011237948,0.011789457,0.033538945,0.012103876,0.02166443,0.07131917,0.035805553,0.013842233,0.03421374,0.0146444095,0.023131924,0.059077896,0.05263678,0.011978188,0.015552381,0.025815278,0.010904959,0.012872273,0.011906382,0.011441683,0.012620707,0.010731023,0.01603595,0.01602499,0.046116874,0.010860239,0.010666511,0.0114917895,0.011697841,0.0126371635,0.012201107,0.0100970445,0.010950432,0.009367792,0.012704038,0.011015601,0.013857692,0.010811925,0.015652152,0.010618729,0.010950654,0.011468526,0.010407907,0.0133214,0.012124649,0.011703974,0.01063295,0.010650562,0.012759894,0.010804422,0.011412652,0.012688176,0.010781359,0.010694687,0.014828414,0.01131983
0.029404664,0.012131538,0.011166503,0.011531069,0.03146079,0.0120956125,0.02197845,0.0698254,0.033509187,0.015674816,0.0324721,0.013843634,0.023024173,0.061578546,0.053866304,0.011511401,0.016046025,0.025548873,0.011349475,0.012462461,0.011858636,0.011541808,0.015096741,0.011796238,0.016524214,0.015929366,0.043688618,0.010727572,0.010231982,0.010953843,0.011410461,0.013112508,0.011920902,0.011608447,0.010987533,0.01005961,0.013276438,0.010564152,0.010329217,0.010337477,0.015380756,0.01212628,0.011191148,0.011316641,0.010668262,0.01603691,0.0124494415,0.011656829,0.011067893,0.010518449,0.013419971,0.0111864405,0.0110549545,0.013367493,0.011044209,0.010711893,0.013477968,0.010887614
0.030620022,0.012291751,0.01153445,0.011781584,0.03259757,0.012306829,0.022194657,0.06314023,0.03428391,0.013045479,0.031061532,0.01395047,0.02343803,0.05847798,0.055626135,0.011849997,0.016514366,0.023585478,0.011577561,0.012892382,0.011372101,0.012205075,0.013055262,0.012970251,0.015190711,0.015799448,0.053493176,0.010938155,0.010678538,0.011536536,0.011230831,0.0123888785,0.01206483,0.01106165,0.011241477,0.009333977,0.013236168,0.0117777595,0.011854162,0.010929941,0.015533678,0.010957291,0.011648937,0.010663144,0.010687487,0.012245252,0.011824253,0.012227534,0.011932487,0.01139018,0.012471849,0.01120393,0.011885709,0.013646528,0.010979798,0.010851591,0.013046661,0.011674324
0.029682552,0.012246095,0.011429888,0.011825855,0.034525096,0.01199427,0.021714168,0.06135466,0.03703336,0.017437275,0.030942097,0.014505875,0.025930269,0.06655632,0.052840248,0.012018211,0.016279928,0.024309937,0.011892313,0.011954618,0.0112158,0.011317623,0.011097299,0.012566044,0.016289545,0.014581634,0.0452696,0.010494027,0.010747494,0.011717145,0.011082677,0.011810116,0.013631742,0.011147102,0.011287834,0.009262825,0.01300847,0.011173834,0.012422217,0.010610646,0.014927885,0.009630768,0.011392619,0.010989225,0.009812098,0.012962913,0.011795331,0.011748161,0.013030752,0.011359007,0.011416001,0.011586267,0.011807345,0.011999837,0.011158472,0.010895389,0.014603058,0.011678153
0.029805029,0.012247018,0.011299402,0.011423061,0.032672007,0.012173199,0.021303786,0.08220023,0.03159925,0.013730619,0.036038578,0.01479503,0.022647176,0.05005198,0.061183535,0.01199176,0.015681038,0.023946794,0.011796569,0.012033461,0.01203197,0.011518737,0.013509204,0.012409196,0.015506779,0.014641982,0.04562189,0.010231297,0.010726494,0.01109615,0.011103866,0.012960376,0.01256049,0.0119065875,0.01057676,0.008814308,0.01191243,0.011431228,0.012430075,0.009859459,0.014869075,0.0109884385,0.011054809,0.010707512,0.010139567,0.014427487,0.012099238,0.011393252,0.0104513755,0.010886036,0.012268107,0.0110527715,0.011638678,0.012117971,0.010678018,0.010504398,0.013769551,0.011485006
0.02987986,0.012182222,0.0115121985,0.011585659,0.033761974,0.0115974955,0.021417279,0.081476994,0.03346115,0.015657973,0.03257828,0.013894079,0.026183024,0.053695127,0.055923186,0.011761909,0.017045317,0.022391407,0.0117187,0.011971102,0.0119227,0.011170449,0.012683781,0.012836181,0.014477002,0.015370318,0.04519264,0.010518094,0.01087678,0.011504463,0.011521801,0.013083543,0.012008358,0.011019037,0.010399101,0.009731455,0.013332126,0.010682768,0.011146833,0.010219935,0.013381043,0.011261534,0.011241777,0.011549437,0.010263341,0.013291979,0.011135295,0.011621577,0.012506689,0.011306683,0.010740614,0.011597288,0.011512046,0.01399348,0.010828896,0.010463204,0.01279194,0.0111208055
0.030100547,0.012208473,0.011324365,0.011771326,0.033512134,0.012429531,0.022514427,0.07419627,0.034521177,0.010670617,0.030275265,0.013724805,0.024532333,0.05938428,0.053528454,0.011803786,0.016743174,0.025824925,0.011284538,0.012336889,0.011968006,0.011823699,0.016903,0.012952369,0.014993846,0.015767232,0.04669121,0.010588045,0.010476215,0.012145988,0.011388458,0.0133201275,0.0119846985,0.011373694,0.011506389,0.008849779,0.013165093,0.011070397,0.010732937,0.00988617,0.013004678,0.010157643,0.011347112,0.0105674,0.010427068,0.012978553,0.0111493245,0.01153926,0.01100676,0.010869854,0.0121986745,0.011305928,0.011277444,0.015185441,0.011322742,0.01084643,0.013777808,0.010763223
0.03062584,0.012215729,0.011189711,0.0115028005,0.031190038,0.011896441,0.022241121,0.064783506,0.034576397,0.013906338,0.0311703,0.013134932,0.023853805,0.061307635,0.059366763,0.012093563,0.0158988,0.021870133,0.01076721,0.012553215,0.010779652,0.011228234,0.012641796,0.011578396,0.015968278,0.0155367,0.05137041,0.011096094,0.010752241,0.010880378,0.011102668,0.013472371,0.011743318,0.011609684,0.011222187,0.009052837,0.013712781,0.011145912,0.0108829625,0.010436239,0.015497837,0.011148368,0.01101604,0.011572258,0.01091913,0.013074462,0.011528532,0.011237747,0.011297655,0.010396727,0.014034495,0.011304172,0.011371175,0.014262416,0.011283553,0.01107285,0.015267802,0.0113574555
0.030196428,0.012153093,0.011377478,0.011630382,0.0340919,0.011975532,0.021240095,0.08307384,0.029550765,0.013996767,0.03455205,0.01335869,0.021492876,0.05305072,0.056622736,0.011466945,0.01833268,0.022966448,0.011844752,0.012803723,0.012066648,0.011655675,0.013754488,0.011987539,0.01632263,0.015709609,0.045121823,0.010624476,0.010884273,0.011169799,0.011013071,0.012847496,0.0128888,0.01112221,0.010554688,0.009794501,0.012701857,0.010566733,0.012251296,0.010662463,0.01457969,0.010864402,0.011261581,0.010778456,0.010354808,0.013121186,0.011509323,0.011058991,0.009933133,0.010746854,0.012229467,0.011350018,0.011280976,0.013721876,0.011131266,0.010998048,0.014983017,0.010618966
