model_number,model_type,precision,precision_std,recall,recall_std,roc_auc,roc_auc_std,accuracy,accuracy_std,f1,f1_std
model_1b,logistic_reg,0.8765409986034,0.0010557764184366497,0.7833392163783974,0.0013520666001975551,0.8371780948009008,0.001771809409560125,0.7701810965021088,0.000832002929943123,0.8273169920098224,0.0006889735826869944
model_1b,binary_tree,0.9017576141874862,0.002412898151002578,0.8177197317331449,0.003547572759659651,0.8556382357464818,0.0025728553560973853,0.8092284792855372,0.0012051558225245349,0.8576362911603702,0.0011876938762385102
model_1b,xgboost,0.8999140593866096,0.0014862557004917884,0.8593716907871514,0.0015646334121787585,0.8916512224456928,0.0016315551174811954,0.8339866038203919,0.001582103773147841,0.8791701007205018,0.0011598657893100506
model_1b,rf,0.8940342048411146,0.0020449918957499646,0.8729968231556654,0.000985321359540716,0.8880214523912369,0.001985879251607748,0.8380054577028033,0.0018297284956175436,0.8833846111769524,0.0012316116081049217
