index,features
1,PHQ4_4_Several days
2,WCRex2_No confidence at all
3,WCRex2_Don't know
4,PHQ4_4_Nearly every day
5,WCRex2_Not very much confidence
6,state_Northern Territory
7,d1_comorbidities_Prefer_not_to_say
8,d1_comorbidities_No
9,employment_status_Unemployed
10,PHQ4_4_Not at all
11,employment_status_Part time employment
12,state_Victoria
13,PHQ4_4_N/A
14,PHQ4_4_Prefer not to say
15,WCRex2_A lot of confidence
16,employment_status_Retired
17,employment_status_Not working
18,age
19,d1_comorbidities_Yes
20,r1_2
21,state_South Australia
22,state_Western Australia
23,week_number
24,state_Queensland
25,state_Tasmania
26,r1_1
27,protective_behaviour_nomask_scale
28,state_New South Wales
