model_number,model_type,precision,precision_std,recall,recall_std,roc_auc,roc_auc_std,accuracy,accuracy_std,f1,f1_std
model_1a,logistic_reg,0.4801454265761137,0.0015888700163738416,0.7709150326797385,0.01096014317189782,0.8238497833590366,0.0036621659048859524,0.7278428093645485,0.0012899037308145074,0.5916109040974046,0.0037901684910744116
model_1a,binary_tree,0.5070628952915,0.0027086180567865254,0.742483660130719,0.007824050850533554,0.8166969596827494,0.0018012395939638406,0.7494147157190636,0.0020569241634361226,0.6025170760063466,0.00363807941048943
model_1a,xgboost,0.5566380262700054,0.002834512752256063,0.7549019607843137,0.007144840231724011,0.8605393074832929,0.001224882386219179,0.7833612040133779,0.0015570708156501332,0.6406516182135019,0.002169889263243218
model_1a,rf,0.5435211997502789,0.0020276009467474136,0.7405228758169935,0.00802352472649615,0.8513986193728428,0.0030242183266671425,0.7744147157190635,0.0010875995011042853,0.6267633432880049,0.0021964220319913566
