model_number,model_type,precision,precision_std,recall,recall_std,roc_auc,roc_auc_std,accuracy,accuracy_std,f1,f1_std
model_2b,logistic_reg,0.858684037260889,0.0023740312777432012,0.736266758336198,0.002417887069407575,0.7805514755669448,0.0029255782098961233,0.7222029273133217,0.00201343505977145,0.7927556975701812,0.0015559288913356887
model_2b,binary_tree,0.8580622355571071,0.003906660699955728,0.49721553798556195,0.020016819360223013,0.6633288785372582,0.004209683114734306,0.5776234185065741,0.0115561685247109,0.6282443552095842,0.01653325598026918
model_2b,xgboost,0.8868477029742173,0.0015040543146162021,0.7774492952904778,0.0012398282933076472,0.8460719054333193,0.0015378599658042939,0.7677995534606797,0.0011887024113828753,0.8285462290232861,0.0008567171840077916
model_2b,rf,0.8798855700129525,0.002445202902905352,0.7630113441045033,0.0028290485745076682,0.8293923094410426,0.0011062179357712663,0.753758372612255,0.0011348829337034544,0.817253009349796,0.0010251754253502673
