model_number,model_type,precision,precision_std,recall,recall_std,roc_auc,roc_auc_std,accuracy,accuracy_std,f1,f1_std
model_2,logistic_reg,0.752099055678216,0.0015419981145667607,0.8626228722128986,0.0031965156197552576,0.7748157429378733,0.002174771062436658,0.7260977888508252,0.0022974124125204644,0.8035642441509443,0.001809740074497639
model_2,binary_tree,0.775889044634926,0.002348077862359224,0.8447374730280508,0.006449818561290121,0.7861511242878707,0.002088508457691423,0.7405792587978823,0.0013409560972663327,0.8087398098961925,0.0018765405853561656
model_2,xgboost,0.7980420952561585,0.001242989384812886,0.8588348117957325,0.001939936944961339,0.8359249268366409,0.0021072123947179153,0.7671441918405482,0.0013572037321671583,0.8273145022983289,0.0010581440629849666
model_2,rf,0.7834687506271804,0.0015820164390949111,0.867034284344282,0.0024642822571152153,0.8220519056449618,0.0023627887863714586,0.7579881656804734,0.0017077015209451883,0.8231215380955961,0.0013000023380444984
