index,features
1,WCRex2_Not very much confidence
2,i11_health_Not sure
3,WCRex1_Somewhat badly
4,state_Northern Territory
5,WCRex1_Somewhat well
6,WCRex2_No confidence at all
7,WCRex1_Very badly
8,i11_health_Somewhat unwilling
9,WCRex2_Don't know
10,WCRex2_A lot of confidence
11,WCRex1_Very well
12,r1_2
13,state_South Australia
14,i11_health_Very unwilling
15,state_Tasmania
16,i11_health_Somewhat willing
17,i9_health_Not sure
18,week_number
19,i9_health_Yes
20,state_Victoria
21,state_New South Wales
22,r1_1
23,state_Queensland
24,i11_health_Very willing
25,state_Western Australia
