model_number,model_type,precision,precision_std,recall,recall_std,roc_auc,roc_auc_std,accuracy,accuracy_std,f1,f1_std
model_1,logistic_reg,0.8010605027746582,0.0013603346362371961,0.8185776487663279,0.002484869034430494,0.8718466930550768,0.0006969316719503487,0.7936156960448459,0.0012469629405161954,0.8097103102530744,0.00129402760809962
model_1,binary_tree,0.8048427139830061,0.002293324650661885,0.7599419448476052,0.0026001968855220467,0.8482294592358542,0.0018848665599880774,0.7723762067891622,0.002431304891708375,0.7817457416376847,0.0023911523766647707
model_1,xgboost,0.8516132598752726,0.0016404550908132615,0.8625253991291727,0.002331765520121469,0.9166804036558951,0.0006439554505435114,0.8456244160697602,0.0015273384745263623,0.8570236731934957,0.0014713233154196577
model_1,rf,0.8472781709250713,0.002039231328173818,0.8441799709724238,0.0023358092141390844,0.9092482325794322,0.0008922414784436964,0.8347866708190594,0.0022543707344570368,0.8457246271791805,0.0021302600282012574
